Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Baguette (slice),Grain,70,2.449865502,13.39669608,0.501523063,0.595105238,0.479108166,147.1608629,0,Lunch,0,,Healthy
Onion (1/2 cup raw chopped),Vegetable,32,0.869137361,7.738042756,0.103273592,1.399988168,3.783771904,3.063359211,0,Dinner,0,,Healthy
Ceviche (1 cup fish),Meal/Fish,180,26.2002719,14.65269001,1.925256164,3.028486451,4.102062662,706.0642845,44.60307482,Lunch,0,,Moderate
Chicken Alfredo (1.5 cups),Meal/Pasta,680,33.51002028,46.66681304,36.16986368,3.957597753,5.188366088,1000.483849,122.6849092,Dinner,250,,Unhealthy
Balsamic Vinaigrette (2 tbsp),Condiment,90,0,2.873420798,8.599088885,0,2.580277633,290.8231006,0,Lunch,0,,Healthy
Prosciutto (1 slice),Protein/Meat,35,4.042450588,0,2.499180481,0,0,273.3408556,9.734060828,Dinner,0,,Healthy
Oregano (1 tsp),Condiment,3,0.100412834,0.72875037,0,0.204255212,0,0,0,Dinner,0,,Healthy
Tilapia (4oz baked),Protein/Fish,110,22.84994747,0,2.621473785,0,0,51.022661,50.52989729,Dinner,0,,Healthy
Ants on a Log (4 pcs),Snack,180,5.952386145,12.03095389,12.23774029,3.057451164,6.799399348,116.8453447,0,Snack,250,,Healthy
Side Salad (light dressing),Vegetable,70,1.972890161,8.396587145,4.110656427,2.904501353,3.045180989,145.9679899,0,Dinner,0,,Healthy
Rice (1/4 cup filling),Grain,51,1.108143127,11.29899731,0.102738883,0.097511227,0,0,0,Snack,0,,Healthy
Tuna (Canned 3oz in water),Protein/Fish,90,19.84511894,0,1.041595956,0,0,260.7011305,36.44937406,Lunch,0,,Healthy
Mashed Potatoes (1 cup),Vegetable,230,3.972252949,34.06845513,8.349938124,3.049032527,2.036806694,353.5297972,15.29473909,Dinner,0,,Healthy
Hummus (1/4 cup),Legume,130,5.184169742,10.47036399,7.800280806,3.806095698,1.033620798,252.9636601,0,Lunch,0,,Healthy
Salsa (1/4 cup),Vegetable,20,0.80501277,4.382400004,0.103393802,1.009554521,3.143087741,261.1837989,0,Lunch,0,,Healthy
Bagel (plain),Grain,270,10.7427028,55.89836426,1.474326791,2.023872824,5.024780759,411.161702,0,Breakfast,250,,Moderate
French Fries (medium),Vegetable/Processed,340,4.050233661,45.52835278,17.72464176,3.979803915,0.303167032,228.2333874,0,Dinner,0,,Moderate
Beef Tacos (2 hard shell),Meal/Meat,380,17.28628138,27.84336105,22.66544383,5.013226596,3.083339902,605.1027229,52.45890824,Dinner,500,,Moderate
Chimichurri (1 tbsp),Condiment,45,0.10115358,0.493711765,4.718120544,0.198226137,0.09803919,96.01920783,0,Dinner,0,,Healthy
Chocolate Croissant,Dessert,350,5.720846284,39.40470052,18.96147531,3.096628034,14.890603,297.2135342,38.12983879,Breakfast,250,,Moderate
Hummus (2 tbsp),Legume,70,1.977678117,3.946114014,4.78086951,2.00297155,0,126.5488948,0,Snack,0,,Healthy
Coconut Water (1 cup),Beverage,46,1.717274896,9.222747635,0.485645919,2.506555846,6.398782832,259.2497899,0,Snack,240,,Healthy
Pani Puri (6 pcs),Snack/Processed,200,3.906079945,33.34966199,4.923430667,2.967924384,1.952492675,380.9214202,0,Snack,0,,Healthy
Churros (2 sticks),Dessert,240,3.106149376,29.689082,11.92845232,1.426781778,9.886546468,208.1944369,19.64167989,Snack,0,,Healthy
Maple Syrup (2 tbsp),Condiment,104,0,25.93218768,0,0,24.95806567,1.979472965,0,Breakfast,0,,Moderate
Pancetta (0.5 oz in sauce),Protein/Meat,45,1.461069228,0,4.542731294,0,0,156.0227649,9.856549507,Dinner,0,,Healthy
Swiss Cheese (1 slice),Dairy,106,7.589521019,0.972957561,7.613407492,0,0.419067031,56.17726161,25.75203528,Lunch,0,,Healthy
Pickled Turnips (2 tbsp),Vegetable,10,0.197745942,2.04001057,0,0.514652974,0.983474631,194.3168038,0,Lunch,0,,Healthy
Peanut Butter (2 tbsp),Nut,190,7.336451927,7.676981033,16.32050238,1.990222537,2.886577402,141.4796301,0,Snack,0,,Moderate
Side Salad (light dressing),Vegetable,70,2.035608234,8.169995103,4.161777655,3.007541723,2.878451139,142.916186,0,Dinner,0,,Healthy
Collard Greens (with ham hock),Vegetable,180,9.725266812,15.23320746,9.374298035,8.069256513,2.93164607,581.423421,29.94363585,Dinner,0,,Healthy
Pine Nuts (1/2 tbsp),Nut,48,1.013525562,0.998178975,4.794787525,0.196390625,0.196105864,0,0,Dinner,0,,Healthy
Media Luna (1 pastry),Grain,190,3.966641432,25.44404048,8.069331531,1.001678392,8.772665425,148.120691,24.38619715,Breakfast,0,,Healthy
Blueberries (1/2 cup),Fruit,42,0.513488243,11.13812197,0.196436083,1.790023319,7.200334574,1.007536669,0,Breakfast,0,,Healthy
French Bread (2 slices),Grain,180,5.779085972,35.12198459,1.041818614,2.084409548,2.077333862,374.4059555,0,Dinner,0,,Healthy
Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,450,14.36452789,57.22947442,17.9165474,6.181947597,9.27123857,829.2542517,39.25205786,Dinner,0,,Moderate
Sugar (1 tsp for cereal),Condiment,16,0,4.150640874,0,0,4.001964842,0,0,Breakfast,0,,Healthy
Graham Cracker (1 large rectangle),Grain/Processed,60,1.005889504,11.2697938,1.430684785,0.507818134,3.808587647,72.89516176,0,Snack,0,,Healthy
Beef Tacos (2 hard shell),Meal/Meat,380,18.36913923,28.64173152,22.23339938,4.872915079,3.1030597,627.0286495,49.69742085,Dinner,500,,Moderate
Corn Nuts (1 oz),Snack/Processed,130,2.022656362,22.28628617,3.971904989,2.052391386,0,181.1225992,0,Snack,0,,Healthy
Croutons (1/4 cup),Grain,50,1.433198466,6.728418487,2.04829424,0.487436999,0.508023766,141.3451469,0,Lunch,0,,Healthy
Olives (Kalamata 5 large),Fruit,35,0.20040548,1.037820729,3.622060806,0.503658648,0,208.5031139,0,Lunch,0,,Healthy
Coarse Salt (garnish),Condiment,0,0,0,0,0,0,194.6997861,0,Lunch,0,,Healthy
Chutney (Mango 1 tbsp),Condiment,45,0.100105075,11.26547499,0.102773691,0.523453636,10.16110965,171.749571,0,Dinner,0,,Healthy
Lasagna (1 serving meat),Meal/Pasta,350,20.74615599,30.54863948,17.78765293,4.078404057,6.931351095,852.8361939,56.64663183,Dinner,250,,Moderate
Cottage Cheese (1 cup low fat),Dairy,160,28.90435078,5.911499854,2.561857338,0,3.829470744,789.1300465,9.590253824,Lunch,250,,Moderate
Gelato (Pistachio 1/2 cup),Dessert,220,4.916641721,24.43097506,12.53464326,2.064703544,20.36679868,60.62018821,39.68919926,Snack,0,,Moderate
Aji Amarillo Paste (1 tsp),Condiment,5,0.100151832,1.042709586,0,0.480203865,0.502201528,48.62178082,0,Dinner,0,,Healthy
Olive Oil (1 tbsp drizzle),Condiment,120,0,0,14.61652175,0,0,0,0,Lunch,0,,Healthy
Green Beans (1 cup),Vegetable,31,1.83770458,6.938596567,0.192232459,2.66775587,3.440698648,5.843186219,0,Dinner,0,,Healthy
Gnocchi (1 cup),Meal/Pasta,210,4.5137686,43.69965347,1.535174463,3.112985196,1.987284306,491.1947861,0,Dinner,0,,Moderate
Spaghetti Bolognese,Meal/Pasta,460,19.05268896,52.57252807,18.60633525,6.285393057,9.569908945,673.4499821,51.82655029,Dinner,250,,Moderate
Macaroni Salad (1 cup),Meal/Pasta,380,8.118495102,30.37800425,24.87897545,3.145275223,5.731883729,764.5542396,20.38741218,Lunch,0,,Unhealthy
Peanut Butter & Jelly Sandwich,Meal/Processed,390,11.95911955,47.84141509,16.84057499,4.762700904,19.87049802,456.5715625,0,Lunch,250,,Unhealthy
Hot Chocolate (1 cup),Beverage,200,2.870161595,30.69311411,8.133210359,1.97397967,24.91515491,155.8180933,10.18715744,Snack,240,,Moderate
Pasta Salad (1 cup),Meal/Pasta,280,7.746918422,28.65824838,14.29905065,3.844675295,5.097799045,442.8933082,9.878362815,Lunch,0,,Moderate
Tzatziki Sauce (2 tbsp),Condiment,30,1.553313249,2.036699412,1.917138267,0,1.559786729,95.36915897,5.08449145,Dinner,0,,Healthy
Coriander (1 tsp),Condiment,5,0.102787369,1.01020883,0.192486825,0.502357136,0,0.959493575,0,Lunch,0,,Healthy
Prosecco (3 oz),Beverage,70,0,1.932791244,0,0,1.461012286,4.919073162,0,Snack,0,,Healthy
Clam Chowder (1 cup),Meal/Seafood,200,10.2773271,17.64902146,8.800220801,0.99235189,2.046866261,896.9007209,31.09111053,Lunch,0,,Moderate
Chimichurri (1 tbsp),Condiment,45,0.096552673,0.523582609,4.533227329,0.204775731,0.102426402,97.83896832,0,Dinner,0,,Healthy
Olive Oil (1 tsp garnish),Condiment,40,0,0,4.710496983,0,0,0,0,Lunch,0,,Healthy
Mozzarella (1 oz melted),Dairy,80,6.223908826,0.98055238,6.094394927,0,0.523480474,155.9675004,20.27256832,Dinner,0,,Healthy
Mushroom (White 1 cup sliced),Vegetable,15,2.111490143,2.348983927,0.197276376,0.711964378,1.345977784,4.154357,0,Dinner,0,,Healthy
Lettuce (Romaine 2 cups),Vegetable,16,0.950180843,3.122570711,0.295579892,1.913273046,0.998188435,9.605372977,0,Lunch,0,,Healthy
Celery (1 stalk),Vegetable,6,0.303100231,1.182711189,0.09687284,0.623146354,0.519046487,31.48770957,0,Lunch,0,,Healthy
Fish Sauce (1 tsp),Condiment,5,0.408676356,0.505546064,0,0,0.401516122,470.5971605,0,Dinner,0,,Moderate
Pisco Sour (1 drink),Beverage,250,0.983616258,25.94359326,0,0,22.80480313,4.995276343,4.885154358,Snack,180,,Moderate
Garlic Sauce (1 tbsp),Condiment,90,0.102724141,1.01894546,9.630647673,0,0.508790878,78.12714776,4.778292162,Lunch,0,,Healthy
Collard Greens (1 cup cooked),Vegetable,60,4.850481257,10.44916997,0.964589289,6.78098985,1.047976308,41.70056867,0,Dinner,0,,Healthy
Celery (1/4 stalk minced),Vegetable,2,0.099888421,0.38296931,0,0.197825551,0.209056644,12.55392156,0,Dinner,0,,Healthy
Meatball Sub (6 inch),Meal/Processed,580,29.23150896,55.65088093,27.20432284,5.797169043,10.12950082,1158.130186,72.0232046,Lunch,500,,Moderate
Risotto (Mushroom 1 cup),Meal/Grain,250,6.812104347,35.58199013,8.988285437,2.931523835,2.937105869,615.4723908,20.33194679,Dinner,0,,Moderate
Mint (1 tbsp in tabouli),Condiment,1,0.096170503,0.101760376,0,0.104216836,0,0,0,Lunch,0,,Healthy
Oat Milk (1 cup),Beverage/Dairy-Alt,120,2.999785769,16.02463424,4.88430951,1.998380603,6.802531151,104.0694985,0,Breakfast,0,,Healthy
Coffee (with cream/sugar),Beverage,50,0.50675337,5.191311277,2.92597165,0,4.691898266,10.42908714,9.982633152,Breakfast,250,,Healthy
Beef Tacos (2 hard shell),Meal/Meat,380,17.18423563,27.74532633,22.69891359,5.050345807,2.961944144,623.4411881,51.14552466,Dinner,500,,Moderate
Spring Roll (Veg 2 rolls),Snack/Processed,180,4.07097249,25.65678804,7.188052187,3.022311716,3.128934243,439.1344792,0,Dinner,0,,Moderate
Red Wine (5 oz glass),Beverage,125,0.097191688,3.692504924,0,0,0.885329785,6.015191026,0,Dinner,0,,Healthy
Chicken Liver (2 oz cooked),Protein/Meat,91,13.76291198,0.618727187,3.504983698,0,0,48.08858166,329.2738963,Dinner,0,,Healthy
French Fries (medium),Vegetable/Processed,340,4.091809823,45.29827023,17.75553768,4.191609775,0.304612431,228.1576934,0,Dinner,0,,Healthy
Onion (1/8 minced in sauce),Vegetable,5,0.096403669,1.168877418,0,0.208986674,0.623778462,0.971371375,0,Dinner,0,,Healthy
Media Luna (1 pastry),Grain,190,3.809172589,24.76047278,8.054043314,0.979899701,8.614148968,157.2978648,24.25589243,Breakfast,0,,Healthy
Egg Yolk (1 large in sauce),Protein,55,2.677810426,0.593349153,4.383278977,0,0.298955411,8.269230135,179.3044643,Dinner,0,,Healthy
Root Beer (1 can),Beverage,150,0,39.86784553,0,0,41.92458223,52.55869218,0,Snack,355,,Moderate
Jasmine Rice (1 cup cooked),Grain,205,4.205233606,47.01737334,0.390480106,0.620745948,0,2.086536429,0,Dinner,0,,Healthy
Beef Jerky (1 oz),Snack/Processed,116,9.721895635,2.956255155,7.081477055,0.503482324,2.4797862,568.035981,31.31756913,Snack,0,,Moderate
Spaghetti Bolognese,Meal/Pasta,460,19.48697876,57.10907234,18.64365376,6.007556311,10.03422342,665.0745369,50.79435658,Dinner,250,,Moderate
Alfajores (1 cookie),Dessert,180,2.003510543,21.81850314,10.33201561,1.049583247,14.6495598,62.52581187,20.75579423,Snack,0,,Moderate
Sake (3 oz),Beverage,117,0.41353341,3.801938086,0,0,0,4.025100518,0,Dinner,0,,Healthy
Hummus (2 tbsp),Legume,70,1.946412124,3.819881192,5.056637778,2.020106848,0,130.0494345,0,Snack,0,,Healthy
Prosciutto (1 slice),Protein/Meat,35,3.865378009,0,2.524100025,0,0,273.3840562,9.791294511,Dinner,0,,Healthy
Tuna Melt,Meal/Processed,450,25.66886943,33.51077884,25.00054367,3.028772731,4.037064814,944.3745459,52.03757558,Lunch,250,,Unhealthy
Pad Thai (Chicken 1.5 cups),Meal/Pasta,550,25.9659257,61.69893839,22.93334788,5.221956763,9.526792406,921.0887419,68.33783704,Dinner,500,,Moderate
Gorgonzola Cheese (1 oz),Dairy,100,6.237385013,0.718630752,8.004573589,0,0.096810884,318.3092963,21.97985496,Dinner,0,,Healthy
Oyster (1 medium raw),Protein/Seafood,8,0.955056509,0.522798021,0.194707212,0,0,51.68804754,9.753721671,Dinner,0,,Healthy
Coconut Shrimp (5 pcs),Meal/Seafood,320,9.639774223,24.79060218,20.11989962,3.046905296,8.359084573,591.1524112,77.38098463,Dinner,0,,Moderate
Chocolate Milk (1 cup),Beverage/Dairy,200,8.162861226,25.78608137,7.869832513,0.957816739,25.00846806,164.2968809,29.9701012,Snack,0,,Moderate
Ham (3oz deli sliced),Protein/Meat,110,15.76121776,2.07171842,4.111968322,0,1.552420785,984.7174474,42.89507637,Lunch,0,,Moderate
Beef Pho (1 large bowl),Meal/Soup,450,29.43572936,57.24628272,11.44854058,3.878413701,4.929363946,1516.025616,62.51222112,Dinner,500,,Moderate
Coffee Beans (3 garnish),Snack,2,0.09870899,0.296903987,0,0.098230295,0,0,0,Snack,0,,Healthy
French Fries (medium),Vegetable/Processed,340,4.02096833,45.25189189,16.19082778,3.850665345,0.287063609,235.1259043,0,Dinner,0,,Moderate
Beef Steak (6oz sirloin),Protein/Meat,270,42.52272931,0,9.821003496,0,0,88.1922113,120.0245324,Dinner,250,,Healthy
Olive Oil (1 tsp garnish),Condiment,40,0,0,4.720718007,0,0,0,0,Lunch,0,,Healthy
French Bread (2 slices),Grain,180,6.053797379,37.36387229,1.024048358,2.069120218,1.953996582,384.0176114,0,Dinner,0,,Healthy
Shrimp Scampi (1 cup),Meal/Seafood,380,21.17948141,38.18862704,14.32016598,2.865007423,2.946133883,770.6657356,141.600115,Dinner,0,,Moderate
Mackerel (3oz cooked),Protein/Fish,175,15.20367598,0,11.79331906,0,0,73.06608869,65.88837921,Dinner,0,,Healthy
Gochugaru (1 tsp),Condiment,10,0.299948496,1.85499277,0.303415971,0.479009199,0.291723439,1.048186892,0,Dinner,0,,Healthy
Angel Hair Pasta (1 cup),Grain,200,6.903045986,43.13519149,0.98134892,2.07637842,0.952935882,0.95927928,0,Dinner,0,,Healthy
Margarita (1 drink, 4oz),110,194.7413284,0.101336651,19.87805069,0,0.095329298,18.3192076,4.99158913,0,Snack,116.0098752,Moderate
Beef Stroganoff (1.5 cups),Meal/Pasta,550,29.97315857,39.5495365,29.29662562,4.071482744,5.762999653,909.8111613,99.83446453,Dinner,0,,Moderate
Peanut Sauce (2 tbsp),Condiment,80,1.998274641,3.915010266,5.955071235,0.969939744,3.096427842,247.1436208,0,Dinner,0,,Healthy
Marshmallow (1 large),Dessert,23,0.097258029,5.791725759,0,0,4.170471267,5.038523556,0,Snack,0,,Healthy
Pretzel Bun (1 medium),Grain,230,8.244491858,44.38769454,1.964745711,1.995719926,3.850568865,554.6772966,0,Lunch,0,,Moderate
Olive Oil (1 tbsp drizzle),Condiment,120,0,0,14.50398861,0,0,0,0,Dinner,0,,Healthy
Coffee (black),Beverage,5,0.296724546,0,0.09841263,0,0,4.998221131,0,Breakfast,0,,Healthy
Biryani (Chicken 1.5 cups),Meal/Meat,520,27.74221308,61.06246285,18.65829077,5.20849991,6.08245896,937.0081324,72.18442374,Dinner,0,,Moderate
White Bread (1 slice),Grain,70,2.091403811,13.04655515,1.00990547,0.60921975,1.19867031,135.6434398,0,Breakfast,0,,Healthy
Maple Syrup (1 tbsp),Condiment,52,0,14.11474091,0,0,12.41827246,0.972645709,0,Breakfast,0,,Moderate
Ketchup (1 packet),Condiment,10,0.096593278,2.560047304,0,0.097910278,1.932984992,94.01225895,0,Breakfast,0,,Healthy
Ketchup (1 tbsp),Condiment,20,0.206039618,5.100675607,0.09979581,0.195182772,3.878648535,165.3052449,0,Lunch,0,,Healthy
Italian Sausage (1 link),Protein/Meat,200,11.51796352,2.967768575,16.6156168,0,1.035470785,576.616585,50.22437328,Dinner,0,,Moderate
Samosa (1 piece vegetable),Snack/Processed,130,1.926912271,17.23957833,6.280831648,2.043099094,0.993592647,292.4051206,0,Snack,0,,Healthy
Breadcrumbs (coating),Grain,25,0.496831516,4.051036437,0.490202936,0.515690649,0.524518638,48.14291375,0,Snack,0,,Healthy
Papaya (1 cup cubes),Fruit,62,0.587003655,15.14298424,0.403568544,2.381113939,11.10568261,12.22773023,0,Snack,0,,Healthy
Bread Roll (hoagie),Grain,200,5.845129717,39.13723167,1.929346058,1.950400675,2.85169318,410.8744233,0,Lunch,0,,Moderate
Garlic Bread (1 slice),Grain,150,4.028030243,18.89158179,6.779235872,1.016832316,1.019756739,311.5797159,0,Dinner,0,,Healthy
Pistachios (1 oz shelled),Nut,159,5.758830303,7.585088922,12.3602342,2.853402329,2.102672187,1.920266338,0,Snack,0,,Healthy
Mashed Potatoes (1 cup),Vegetable,230,3.824648459,36.23787506,7.724440259,3.003260383,2.060669135,359.9486305,14.65535903,Dinner,0,,Healthy
Salsa (2 tbsp),Condiment,10,0.478248028,2.045595696,0,0.477174704,0.991548402,125.7262051,0,Lunch,0,,Healthy
Gochugaru (1 tsp),Condiment,10,0.313667524,1.800519742,0.313602896,0.500467589,0.312988548,0.970104991,0,Dinner,0,,Healthy
Blackberries (1 cup),Fruit,62,1.962197038,14.36252596,0.712640542,7.552161083,5.012611747,1.005623479,0,Snack,0,,Healthy
Salt (1/4 tsp),Condiment,0,0,0,0,0,0,597.4320087,0,Dinner,0,,Moderate
Bread Roll (hoagie),Grain,200,6.16918193,39.81143418,1.915196533,2.018567081,3.057929292,401.5312303,0,Lunch,0,,Moderate
Oatmeal (1 cup cooked),Grain,160,5.812727131,28.41489495,2.886135142,3.881830482,0.951569492,1.929364163,0,Breakfast,250,,Healthy
Corn (1 cup),Vegetable,132,4.718928689,30.54641448,1.788254503,3.712062466,9.240570253,2.030512912,0,Dinner,0,,Healthy
Naan Bread (1 piece),Grain,260,7.661778607,46.80698204,4.803440032,2.06740121,3.078285031,440.0308119,10.00544012,Dinner,0,,Moderate
Caprese Salad,Meal/Vegetable,240,9.550060389,7.854356713,17.10706071,1.997396482,4.890399869,357.6426064,40.79339275,Lunch,250,,Moderate
Sage (2 leaves),Condiment,1,0,0.095836531,0,0.096071743,0,0,0,Dinner,0,,Healthy
Gelato (Pistachio 1/2 cup),Dessert,220,5.089851098,24.80303866,11.41449657,2.062246071,20.8379647,57.54553945,38.73192878,Snack,0,,Moderate
Mozzarella (filling 0.5 oz),Dairy,40,2.954746923,0.5133293,2.958289538,0,0.20817314,75.4793756,9.571349204,Snack,0,,Healthy
Black Pepper (1/2 tsp),Condiment,3,0.095991514,0.678095193,0,0.313723661,0,0,0,Dinner,0,,Healthy
Chocolate Donut (1 medium),Dessert,300,4.069884411,34.25022738,17.37623686,2.082665928,18.8817566,225.8461631,19.338946,Breakfast,0,,Moderate
Provolone Cheese (1 slice),Dairy,100,6.658004772,1.031615376,7.824936882,0,0.475572109,260.6036859,19.24957082,Snack,0,,Healthy
Alfajores (1 cookie),Dessert,180,2.022606717,20.97085359,9.822980202,1.031226614,14.63624531,59.04480241,20.65774268,Snack,0,,Moderate
Bok Choy (1 cup steamed),Vegetable,10,1.519212045,1.911893362,0.103969702,1.013801362,0.970782582,38.39334956,0,Dinner,0,,Healthy
Collard Greens (with ham hock),Vegetable,180,10.38524139,14.83192597,9.189834802,7.988886461,2.942422426,574.518795,30.1893033,Dinner,0,,Healthy
Bell Pepper (1 medium red),Vegetable,31,1.205888293,6.287512814,0.293513372,2.095751612,4.059933288,4.175803271,0,Lunch,0,,Healthy
Naan Bread (1 piece),Grain,260,8.154763156,45.00188828,4.913590523,2.086274606,2.932291577,469.5085172,9.590201514,Dinner,0,,Moderate
Mayonnaise (1 tbsp),Condiment,90,0.104138052,0.096837661,9.646223158,0,0.102310772,71.12461792,5.154241398,Lunch,0,,Healthy
Choripan (1 sandwich),Meal/Processed,550,19.80609491,39.06932583,33.34056026,2.90294282,4.083725642,1130.576701,79.85433332,Lunch,250,,Unhealthy
Hollandaise Sauce (2 tbsp),Condiment,110,1.017272383,0.477598187,12.49315759,0,0.209204279,156.9373584,49.46167956,Breakfast,0,,Healthy
Supplì (1 piece fried rice ball),Snack/Processed,200,7.871865139,25.6612467,8.09647469,1.973970098,1.946318926,394.6038326,26.01892776,Snack,0,,Healthy
Smoothie (Fruit & Yogurt),Beverage/Meal,280,11.84064308,54.14044109,2.980138503,7.06849873,39.04417732,70.64345182,4.792183569,Breakfast,250,,Healthy
Green Beans (1 cup),Vegetable,31,1.781964423,7.267343289,0.200850931,2.742187637,3.33210103,6.018876429,0,Dinner,0,,Healthy
Orange Slice (garnish),Fruit,5,0.100269659,1.043693138,0,0.203237536,0.83241886,0,0,Snack,0,,Healthy
Potato Chips (1 oz),Snack/Processed,160,1.910691121,14.51735506,10.1178772,1.035918723,0.499491175,164.2498226,0,Snack,0,,Healthy
Milk (2%, 1 cup),110,125.2718925,7.813102828,11.65914046,4.964359972,0,12.30829544,97.48456561,20,Breakfast,0,Healthy
Cacio e Pepe (1.5 cups),Meal/Pasta,500,17.67118923,64.20195213,18.61352592,4.09229563,3.025946549,690.0373406,50.7856128,Dinner,0,,Moderate
Pisco Sour (1 drink),Beverage,250,0.968772497,24.85912797,0,0,24.03252017,4.865828621,5.052119535,Snack,180,,Moderate
Lime Wedge (garnish),Condiment,3,0.095615702,0.95037691,0,0.286111475,0.199210116,0,0,Dinner,0,,Healthy
Corn (1 cup),Vegetable,132,4.53648023,30.95532699,1.787090965,3.496358873,8.680625717,2.027194588,0,Dinner,0,,Healthy
Bun (hamburger),Grain,140,4.054586584,26.26485909,2.024965678,1.003951178,3.986634667,255.0587764,0,Lunch,0,,Healthy
Sugar (1 tsp for cereal),Condiment,16,0,4.116084907,0,0,3.901631514,0,0,Breakfast,0,,Healthy
Coffee (black),Beverage,5,0.288177947,0,0.104597656,0,0,4.857840591,0,Breakfast,0,,Healthy
Kiwifruit (1 medium),Fruit,46,0.941746274,10.74206318,0.418038568,2.299685596,6.865972444,2.034732408,0,Snack,0,,Healthy
Pear,Fruit,101,0.602524365,26.67400931,0.199591138,5.487390372,15.26612797,2.026260111,0,Snack,0,,Healthy
Lasagna (1 serving meat),Meal/Pasta,350,20.96121646,29.2898363,17.63953785,4.128679321,7.327329057,888.8588696,54.9281266,Dinner,250,,Moderate
Cheesy Grits (1 cup),Meal/Grain,210,5.846754604,34.27233304,5.914087174,2.000362749,0.979270587,533.2753158,19.90697281,Breakfast,0,,Moderate
Garlic (1 clove in beans),Vegetable,4,0.201391116,0.897938978,0,0.099186756,0,1.012436096,0,Dinner,0,,Healthy
Vegetable Broth (1 cup),Beverage,15,0.983482527,2.931635552,0,0.968430753,2.089276153,550.991582,0,Dinner,240,,Moderate
Pita Bread (1 white),Grain,165,5.643762083,34.07194737,1.202132312,1.553212295,1.463273762,325.4711879,0,Snack,0,,Healthy
Egg Noodles (1 cup cooked),Grain,220,8.397567725,41.74732267,3.034184441,1.961801279,2.008541182,19.83632217,51.75917243,Dinner,0,,Healthy
Tabouli (1/2 cup),Meal/Vegetarian,120,3.071411358,14.75275462,6.2873382,3.914443893,2.091854179,288.8844728,0,Lunch,0,,Healthy
Hash Browns (1 cup),Vegetable,330,3.076854704,36.3076204,18.62850735,2.980538479,0.984791307,533.0437638,0,Breakfast,0,,Moderate
Labneh (2 tbsp),Dairy,60,3.889823823,1.975819191,3.885650655,0,2.051545214,79.25491363,15.71651835,Breakfast,0,,Healthy
Ribollita (1.5 cups soup),Meal/Soup,350,14.66098019,54.38826729,8.045320059,13.57186181,10.49905516,927.3092816,4.811148348,Dinner,500,,Healthy
Fried Pita (1/2 pita in salad),Grain,80,2.076791667,12.46418263,2.959711712,0.971306194,0.501915687,150.0454337,0,Lunch,0,,Healthy
Fruit Cocktail (canned 1 cup),Fruit,110,0.96764022,28.34804166,0,2.071023167,26.23037754,9.838807191,0,Snack,0,,Moderate
Sweet Tea (16 oz),Beverage,180,0,45.54710183,0,0,48.02653853,14.54009667,0,Lunch,473,,Moderate
Pad Thai (Chicken 1.5 cups),Meal/Pasta,550,24.43821226,62.34507853,22.77828909,4.831229395,10.36802059,937.0408364,66.53570785,Dinner,500,,Moderate
Orange Slice (garnish),Fruit,5,0.098019929,0.984427597,0,0.196025469,0.774111631,0,0,Snack,0,,Healthy
Balsamic Glaze (1 tbsp),Condiment,40,0,8.636755249,0,0,7.909804757,9.771877228,0,Lunch,0,,Healthy
Protein Bar,Supplement/Processed,210,20.538618,21.06487598,7.183789536,5.767093698,1.038440971,181.8667082,4.765569233,Snack,500,,Healthy
Coarse Salt (garnish),Condiment,0,0,0,0,0,0,190.5986985,0,Lunch,0,,Healthy
Tortilla Chips (1 oz),Snack/Processed,140,2.018081514,18.6538906,6.772259869,1.900882967,0.521680246,122.8363452,0,Snack,0,,Healthy
Green Curry Paste (1 tbsp),Condiment,30,0.481895978,1.918798147,2.481742934,0.971522993,1.000880372,391.6412508,0,Dinner,0,,Healthy
Naan Bread (1 piece),Grain,260,7.614536764,46.17038266,5.182626759,2.018877483,2.861655741,445.1027335,10.03489846,Dinner,0,,Moderate
Asparagus (1 cup steamed),Vegetable,40,4.494907879,7.755842114,0.389443831,3.436772032,3.329483355,3.931129247,0,Dinner,0,,Healthy
Burger (cheeseburger),Meal/Processed,550,30.54507303,41.59280479,31.48695289,3.041693856,7.349859684,1092.594601,87.81209047,Dinner,500,,Unhealthy
Raspberries (1 cup),Fruit,64,1.473522631,14.42802063,0.834625364,7.794477083,5.338354352,0.991294718,0,Snack,0,,Healthy
Coconut Shrimp (5 pcs),Meal/Seafood,320,10.43607161,24.72439918,20.48058449,2.921832656,8.044685678,571.9378922,82.94299222,Dinner,0,,Moderate
Seaweed Salad (1/2 cup),Vegetable,60,2.014450765,8.245325567,3.11686844,1.979467808,3.979235763,340.8979277,0,Lunch,0,,Healthy
Potato (1/2 w/ pasta),Vegetable,65,0.999324029,14.77399583,0.09509049,1.024787181,0.514577474,3.092912523,0,Dinner,0,,Healthy
Caramel Sauce (1 tbsp),Condiment,60,0,12.95226761,0.982661712,0,11.50021758,31.21279802,4.862702075,Snack,0,,Healthy
Cottage Cheese (1/2 cup),Dairy,90,12.17309782,5.087562652,3.05775806,0,3.946436668,388.9725781,10.45762651,Snack,0,,Healthy
